License No.,Company Name,Dispensing or not?,Schedule of Chm (S1/S2),Company Address,External Packing,Revised Date
CR-2003-00366,YUN SANG HONG,No,S2,"G/F, 45 FAU TSOI ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00368,HENG LAM CHINESE MEDICINE CO.,Yes,S1 & S2,"SHOP NO. 41, G/F, RICHLAND GDN, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00371,TAK CHEONG GINSENG COMPANY,Yes,S1 & S2,"G/F, 16 WO LUNG ST, LUEN WO MARKET, FANLING, N.T.",No,2017-10-06
CR-2003-00377,WUI CHUN TONG MEDICINE CO.,Yes,S2,"SHOP A, G/F, 15-23 TSAT TSZ MUI RD, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-00379,LUNG TAI TRADING CO.,No,S2,"19/F, 177-183 WING LOK ST W, HONG KONG",No,2017-10-06
CR-2003-00380,MAN SANG MEDICINE HONG,Yes,S1 & S2,"G/F, 1 KAI MING ST, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-00382,"KAM ON DISPENSARY (O/B KAM ON MEDICINE CO., LIMITED)",Yes,S2,"FLAT/RM 230, 232, 2/F, CHEUNG FAT PLAZA, CHEUNG FAT ESTATE, TSING YI, N.T.",No,2017-10-06
CR-2003-00384,FUNG YEUNG TIK TA CO.,Yes,S1 & S2,"FLAT/RM 9, G/F, ON TUNG HOUSE, TUNG TAU ESTATE, KOWLOON",No,2017-10-06
CR-2003-00385,TAK YUEN TONG,Yes,S2,"FLAT/RM 3, G/F, LUCK FACT BLDG, 1 STONE NULLAH LANE, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-00386,HIP HING HONG,No,S2,"FLAT/RM D, 8/F, FOUR SEAS COMM BANK BLDG, 49-51 BONHAM STRAND WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00391,TACK SHING DISPENSARY LIMITED,Yes,S2,"FLAT/RM 3, G/F, TAK CHEUNG BLDG, 1001 KWAI CHUNG RD, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-00392,ASIA GINSENG LIMITED,No,S2,"G/F, 83 BONHAM STRAND E, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00396,HANG WO CHINESE AND WESTERN MEDICINE CO.,Yes,S2,"STALL 297, 298, 299, TAI KIU MKT, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00397,KAM KONG MEDICINE CO.,Yes,S1 & S2,"SHOP 17E, G/F, UNITED BUILDING, 1-7 WU KWONG STREET, HUNG HOM, KOWLOON",No,2017-10-06
CR-2003-00400,WING ON NING MEDICINE CO.,Yes,S1 & S2,"G/F, 1029 CANTON RD, KOWLOON",No,2017-10-06
CR-2003-00401,TUNG SING MEDICAL SHOP,Yes,S2,"NO. 127, 3/F, SUN TUEN MUN CENTRE, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00402,FOOK SANG CHINESE MEDICINE,Yes,S1 & S2,"G/F, 49 TSING YUEN ST, TAI PO MARKET, N.T.",No,2017-10-06
CR-2003-00403,HANG HING LUNG GINSENG COMPANY LIMITED,No,S2,"RM 201, BONHAM COMM CTR, 44-46 BONHAM STRAND WEST, HONG KONG",No,2017-10-06
CR-2003-00404,TAI KA HO MEDICINE CO.,Yes,S1 & S2,"RM NO. 106, BLK A, CHO YIU CHUEN SHOPPING CENTRE, CHO YIU CHUEN, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-00405,KWOK WAH DEPARTMENT STORE,Yes,S1 & S2,"SHOP C, G/F & COCKLOFT, 5-11 KA WO ST, TIN WAN, ABERDEEN, HONG KONG",No,2017-10-06
CR-2003-00406,SANG SANG MEDICINE COMPANY,Yes,S2,"G/F, 66 RECLAMATION ST, YAU MA TEI, KOWLOON",No,2017-10-06
CR-2003-00408,TOPFIELDS DEVELOPMENTS LIMITED,No,S2,"G/F, MEZZ, 1/F, 221 QUEEN'S ROAD WEST & 1/F, 223 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00412,WING FAT SEA PRODUCT,No,S2,"G/F, 72 WAN CHAI ROAD, HONG KONG",No,2017-10-06
CR-2003-00416,WING ON MEDICINE CO.,Yes,S1 & S2,"SHOP E, G/F, KAM WAH BLDG, 10-16 TUNG LOK ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00417,VASSAR HEALTHCARE LIMITED,Yes,S1 & S2,"1/F, EVERWIN MANSION, 18 JOHNSTON RD, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-00420,YUN WO MEDICINE TRADING CO.,No,S2,"G/F, 155 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00424,HUNG CHEONG MEDICAL CO.,Yes,S2,"G/F, 27, CHUN YU HOUSE, SAM SHING ESTATE, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00425,KWONG SANG MEDICINE HONG,Yes,S1 & S2,"SHOP NO. 2, HANG FU BUILDING, 38 YAU SUN STREET, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00427,YUNG SHING MEDICINE & NATIVE,Yes,S2,"SHOP NO 41, G/F, YUNG SHING COURT MARKET, YUNG SHING COURT, FANLING, N.T.",No,2017-10-06
CR-2003-00428,CHI WING CHINESE MEDICINE,Yes,S2,"FLAT/RM A67, G/F, TAI ON BLDG, SHAU KEI WAN RD, HONG KONG",No,2017-10-06
CR-2003-00430,YUEN ON MEDICINE CO. HONG KEE,Yes,S1 & S2,"G/F, 1-E NELSON ST, KOWLOON",No,2017-10-06
CR-2003-00433,CHUEN SUN MEDICINE CO.,Yes,S2,"FT 19, MARKET, SHOPPING CENTRE, TAI WO EST, TAI PO, N.T.",No,2017-10-06
CR-2003-00434,LUEN HING MARINE PRODUCTS,No,S2,"G/F, 184 DES VOEUX ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00436,YAN SANG MEDICINE HONG,Yes,S2,"BLK A, FLAT/RM 7, G/F, SHUN HING BUILDING, NO. 1-3 ON NING ROAD, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00437,TAI ON MEDICINE HONG,Yes,S1 & S2,"SHOP 102, G/F, CHOI CHU HSE, CHOI YUEN EST, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00439,LUEN YICK MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 3D2, G/F, TAI HONG BLDG, SAN TSING ST, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00442,KAM TSUEN TONG SUM YONG MEDICAL SHOP,Yes,S2,"228E, 2/F, PLOVER COVE GARDEN SHOPPING ARCADE, TAI PO, N.T.",No,2017-10-06
CR-2003-00443,SAU CHUN TONG,No,S2,"SHOP 125, 126, 139 & 140, SAN HUI MARKET, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00445,MAN FUNG HONG,Yes,S1 & S2,"FLAT/RM B, G/F, SHIU YAT BLDG, 8 CHUN YIN SQUARE, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00446,HAR KEE,No,S2,"STALL S93, 1/F, TAI SHING ST TEMP MKT, 121 CHOI HUNG RD, WONG TAI SIN, KOWLOON",No,2017-10-06
CR-2003-00447,CHUN TAT DRIED SEA FOOD,No,S2,"STALL 99-101, 2/F, TAI SHING ST MARKET, WONG TAI SIN, KOWLOON",No,2017-10-06
CR-2003-00449,CHEUNG KONG MEDICINE HONG,Yes,S2,"G/F, LEE YUEN COURT, 841A CANTON RD, KOWLOON",No,2017-10-06
CR-2003-00450,WONG YIU,No,S2,"NO. 82, 83, 1/F, PEI HO ST UC COMPLEX, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-00452,KAI CHEONG MED CO.,Yes,S1 & S2,"FLAT/RM 43, G/F, MING SHUN LAU, JAT MIN CHUEN, SHA TIN, N.T.",No,2017-10-06
CR-2003-00453,MOON FAI MEDICINE COMPANY,Yes,S2,"SHOP G9, G/F, SADDLE RIDGE GARDEN SHOPPING ARCADE, MA ON SHAN, SHA TIN, N.T.",No,2017-10-06
CR-2003-00456,GOLDEN FIELD (FAR EAST) LIMITED,No,S2,"FLAT A-E, 28/F, YAN'S TOWER, 25-27 WONG CHUK HANG RD, ABERDEEN, HONG KONG",No,2017-10-06
CR-2003-00457,CHEUNG FUNG DISPENSARY AND SUPERMARKET LIMITED,Yes,S1 & S2,"SHOP F14A-15A, TELFORD PLAZA, PH 1, KOWLOON BAY, KOWLOON",No,2017-10-06
CR-2003-00458,"LEE HONG MEDICINE COMPANY (O/B HENG FA CHUEN MEDICINE CO., LIMITED)",Yes,S2,"FLAT 136-138, PARADISE MALL, HENG FA CHUEN, HONG KONG",No,2017-10-06
CR-2003-00461,KIN MAN MEDICINE HONG,Yes,S2,"SHOP NO 11, G/F, BLK A, MEI LING CTR, 98 SHUN LING RD, KOWLOON",No,2017-10-06
CR-2003-00464,LAM CHEUNG FAT MEDICINE CO.,Yes,S1 & S2,"G/F, NAM ON MANSION, 38 SHUI WO STREET, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-00472,FUNG SHING SEA PRODUCTS COMPANY LIMITED,No,S2,"G/F, HONG MING BLD, 227D DES VOEUX RD W, SAI YING PUN, HONG KONG",No,2017-10-06
CR-2003-00474,YAT ON MEDICINE CO.,Yes,S2,"G/F, 47E NGA TSIN WAI RD, KOWLOON",No,2017-10-06
CR-2003-00478,CHUNG WUI GINSENG & DRY SEAFOOD,Yes,S2,"FLAT/RM A2, G/F, BLK A, CENTRAL MANSION, 36 TAI KWONG LANE, TAI PO, N.T.",No,2017-10-06
CR-2003-00485,CHAN TIN YAN ACADEMY OF TRADITIONAL CHINESE MEDICINE,Yes,S1 & S2,"G/F, 57 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",No,2017-10-06
CR-2003-00486,TIN WO TONG MEDICINE CO.,Yes,S2,"FLAT 115, 5/F, TSUI LAM SHOPPING CTR, TSUI LAM EST, TSEUNG KWAN O, N.T.",No,2017-10-06
CR-2003-00488,ON WAH MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 42A, 3/F, HILTON CENTRE SHOPPING ARCADE, SHA TIN, N.T.",No,2017-10-06
CR-2003-00489,CHING CHEONG KWAI KEE,No,S2,"6/F, 15 HILLIER ST, HONG KONG",No,2017-10-06
CR-2003-00491,WING NGAI YUEN,Yes,S1 & S2,"G/F, 4C1, TENTH ST, TAI WAI VILLAGE, TAI WAI, SHA TIN, N.T.",No,2017-10-06
CR-2003-00493,KWUN FUNG HERBAL COMPANY,Yes,S1 & S2,"G/F, 89 BELCHER'S STREET, SAI WAN, HONG KONG",No,2017-10-06
CR-2003-00494,KWUN FUNG HERBAL COMPANY,Yes,S1 & S2,"G/F, 542 QUEEN'S RD WEST, HONG KONG",No,2017-10-06
CR-2003-00497,SAM WO TONG,No,S2,"SHOP NO S59, G/F, NGAU CHI WAN MARKET, KOWLOON",No,2017-10-06
CR-2003-00498,KWANG TUNG FU TAT MEDICINE (O/B FU TAT INTERNATIONAL DEVELOPMENT COMPANY LIMITED),Yes,S1 & S2,"G/F, 31 YIK YAM ST, HAPPY VALLEY, HONG KONG",No,2017-10-06
CR-2003-00500,WING CHEONG MEDICINE CO.,Yes,S2,"G/F, 311 TAI NAN ST, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-00504,TAK LEE DRIED SEAFOOD COMPANY LIMITED,No,S2,"G/F, NO 61 DES VOEUX RD WEST, HONG KONG",No,2017-10-06
CR-2003-00505,TAK SANG MEDICINE CO. (PING KEE),Yes,S1 & S2,"G/F, 40 FOOK TAK ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00507,KONG LUNG GROUP GINSENG & SEA PRODUCTS & MEDICAL COMPANY,Yes,S1 & S2,"G/F, 47 FU HING STREET, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00511,YAN ON MEDICINE CO.,Yes,S2,"FLAT/RM A2, G/F, WING HING HSE, 13 RECLAMATION ST, YAU MA TEI, KOWLOON",No,2017-10-06
CR-2003-00512,LUEN BONG MEDICINE HONG,Yes,S1 & S2,"G/F, 23 WO TIK ST, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00513,MAN HING MEDICINES WHOLESALE LIMITED,Yes,S1 & S2,"G/F, 60 QUEEN'S RD W, HONG KONG",No,2017-10-06
CR-2003-00514,WAH TAI HONG,No,S2,"G/F, 210 WING LOK ST W, HONG KONG",No,2017-10-06
CR-2003-00517,SUN KONG MEDICINE CO.,Yes,S2,"SHOP A5, 85-89 SHEK YAM RD, SHEUNG KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-00520,KAM ON MEDICINE CO.,Yes,S2,"SHOP 220, YAT TUNG SHOPPING CTR, YAT TUNG EST, TUNG CHUNG, HONG KONG",No,2017-10-06
CR-2003-00522,YICK CHEONG MEDICINE CO.,Yes,S1 & S2,"G/F, FU CHOI BLDG, 2 HOP CHOI ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00523,KO SHING HONG,No,S2,"G/F, 192 DES VOEUX ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00525,TUNG TAK DRIED SEAFOOD COMPANY LIMITED,No,S2,"G/F, 163 DES VOEUX RD W, WESTERN, HONG KONG",No,2017-10-06
CR-2003-00528,KWOK TAI MARINE PRODUCTS COMPANY,No,S2,"G/F, 168 DES VOEUX RD W, HONG KONG",No,2017-10-06
CR-2003-00530,HUNG KEE MEDICINE CO.,Yes,S1 & S2,"FLAT/RM A2, G/F, KIT CHEUNG BUILDING, 51-53 YUEN LONG ON NING ROAD, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00534,LUEN ON GINSENG MEDICINE HONG,Yes,S1 & S2,"FLAT/RM 4-5, G/F, CHI KAM CRT, 97 HAU WONG RD, KOWLOON CITY, KOWLOON",No,2017-10-06
CR-2003-00535,SHING TAI GROCERY,No,S2,"RM 2061, 2/F, YEUNG UK RD MARKET, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00537,SUN WAH MEDICINE CO.,Yes,S1 & S2,"G/F, 133 PEI HO STREET, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-00538,HOI CHEONG HO,No,S2,"G/F, 118 DES VOEUX RD WEST, HONG KONG",No,2017-10-06
CR-2003-00539,TIN TAK SWALLOW'S NEST GIFT SHOP (O/B TIN TAK (HONG KONG) MEDICINE COMPANY LIMITED),No,S2,"CONCESSION NO. POA 4, PO LAM STATION, TSEUNG KWAN O LINE MTR, KOWLOON",No,2017-10-06
CR-2003-00540,TIN TAK SWALLOW'S NEST GIFT SHOP (O/B TIN TAK (HONG KONG) MEDICINE COMPANY LIMITED),No,S2,"KIOSK KWT 4, KWUN TONG STATION MTR, KOWLOON",No,2017-10-06
CR-2003-00541,WANG LEE HERBS SEAFOOD CO.,No,S2,"SHOP B, G/F, 52 RECLAMATION ST, YAU MA TEI, KOWLOON",No,2017-10-06
CR-2003-00542,WING FAT,No,S2,"STALL 341, TUNG YICK MARKET, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00549,KAM FUNG MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 14, G/F, YUE ON HSE, YUE WAN EST, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-00550,FOREVER ACCESS MEDICINE COMPANY LIMITED,Yes,S1 & S2,"SHOP 1056, ONE SKY MALL, 8 TIN SAU ROAD, TIN SHUI WAI, N.T.",No,2017-10-06
CR-2003-00552,WING TAI CHINESE MEDICINE CO.,Yes,S1 & S2,"G/F, SHOP B, KAM WAH BLDG, FOOK TAK ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00557,"TONG SHUN HONG CO., LIMITED",No,S2,"G/F, 36 BONHAM STRAND W, HONG KONG",No,2017-10-06
CR-2003-00558,CHEUNG SHING MEDICINE CO.,Yes,S2,"NO. 211, 2/F, HING TIN EST COMM ARCADE, KOWLOON",No,2017-10-06
CR-2003-00563,LAM KEE SEAFOOD PRODUCTS COMPANY LIMITED,No,S2,"FLAT/RM C & D, G/F, SING FAI BLDG, 8-12 WILMER ST, HONG KONG",No,2017-10-06
CR-2003-00571,SANG LEE DRIED SEAFOOD,No,S2,"FLAT/RM 39, G/F, HUNG HOM COMMERCIAL CENTRE, 37-39 MA TAU WAI ROAD, HUNG HOM, KOWLOON",No,2017-10-06
CR-2003-00574,POO TAK TONG MEDICINE SHOP,Yes,S2,"FLAT/RM D, G/F, 27-31 CATCHICK ST, SAI WAN, HONG KONG",No,2017-10-06
CR-2003-00578,LEE FUNG HONG,No,S2,"G/F, 56 WING LOK STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00581,"HANG CHEONG TAI GINSENG DEER HORN MEDICINE CO., LIMITED",No,S2,"1/F & NO. 23 OF G/F, HANG CHEONG TAI BLDG, 21-23 KO SHING ST, HK",No,2017-10-06
CR-2003-00582,CHU KONG CHINESE MEDICINE HONG,Yes,S2,"SHOP 11, G/F, WINFIELD BUILDING, 847-865 CANTON ROAD, MONG KOK, KOWLOON",No,2017-10-06
CR-2003-00583,PING ON MEDICINE SHOP,Yes,S1 & S2,"G/F, 3 SHA TSUI PATH, SAI KUNG, N.T.",No,2017-10-06
CR-2003-00590,SUN WAH MEDICINE COMPANY (O/B GREAT BRIDGE LIMITED),Yes,S2,"RM 25, G/F, HO SHING BLDG, LOT 166, CASTLE PEAK RD, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00591,KWONG FUK MEDICINE CO.,Yes,S1 & S2,"G/F, SHOP S7, KWONG YAN HSE, KWONG FUK EST, TAI PO, N.T.",No,2017-10-06
CR-2003-00597,SHU KEE,No,S2,"SHOP 4, G/F, TUNG HING COURT, 88 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00598,HANG SENG GINSENG HONG,No,S2,"SHOP 1, G/F, SHING LEE COMMERCIAL BUILDING, 8 WING KUT STREET, CENTRAL, HK",No,2017-10-06
CR-2003-00599,SUN LAP TRADING CO.,Yes,S1 & S2,"G/F, 1-3 KO SHING ST, HONG KONG",No,2017-10-06
CR-2003-00600,TAI TAK TONG CHEUNG KEE,Yes,S1 & S2,"G/F, SHING FAT BLDG, 16 TAI CHEUNG ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00602,PROFIT CONCEPT LIMITED,No,S2,"G/F, KIN TYE LUNG BLD, 29 BONHAM STRAND W, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00604,LAI HONG MEDICINE CO.,Yes,S2,"SHOP NO. 50, G/F, SHAU KEI WAN CENTRE, 407-409 SHAU KEI WAN RD, HONG KONG",No,2017-10-06
CR-2003-00607,CHEUNG KONG MEDICINE CO.,Yes,S1 & S2,"SHOP 7, G/F, THE SORENTINO, 483 SHUN NING ROAD, CHEUNG SHA WAN, KOWLOON",No,2017-10-06
CR-2003-00608,CHEUNG KONG MEDICINE CO.,Yes,S1 & S2,"G/F, 81 KI LUNG ST, KOWLOON",No,2017-10-06
CR-2003-00609,KAM HING HONG,No,S2,"G/F, 145 QUEEN'S RD WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00612,MAN CHUN HONG,Yes,S1 & S2,"G/F, 83 QUEEN'S RD W, HONG KONG",No,2017-10-06
CR-2003-00614,KEE ON MEDICINE SHOP,Yes,S1 & S2,"G/F, 10B CANAL RD WEST, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-00615,WAH HING SEA PRODUCT CO.,No,S2,"G/F, 1 EASTERN ST, HONG KONG",No,2017-10-06
CR-2003-00616,NEW LUEN FAI MEDICINE CO.,Yes,S1 & S2,"G/F, 30A JARDINE'S BAZAAR, CAUSEWAY BAY, HONG KONG",No,2017-10-06
CR-2003-00618,HUNG SUM CO.,No,S2,"NO. 21, G/F, ABBA SHOPPING MALL, 223-227 ABERDEEN MAIN ROAD, ABERDEEN, HONG KONG",No,2017-10-06
CR-2003-00619,KIN SANG MEDICINE CO.,Yes,S1 & S2,"G/F, 6B WU NAM STREET, ABERDEEN, HONG KONG",No,2017-10-06
CR-2003-00620,HUNG CHEONG DRY SEAFOOD GROCERIES,No,S2,"NO. 20-21, SHEUNG TAK MARKET, TSEUNG KWAN O, N.T.",No,2017-10-06
CR-2003-00624,CHUNG MIU TONG MED CO.,Yes,S1 & S2,"SHOP 3A, G/F, ON TUNG HOUSE, TUNG TAU ESTATE, KOWLOON",No,2017-10-06
CR-2003-00628,CHUNG HIM TRADING HONG,No,S2,"FLAT/RM 9, 10/F, WAYSON COMMERCIAL BUILDING, 28 CONNAUGHT RD WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00632,SAU YAN TONG MEDICINE CO.,Yes,S2,"110, G/F, NAM FUNG HOUSE, NAM SHAN ESTATE, KOWLOON CHAI, KOWLOON",No,2017-10-06
CR-2003-00635,TUNG AH (CHI SANG) MEDICINE CO.,Yes,S2,"S216, 2/F, OI YUNG HOUSE, ZONE S, H.A.N.D.S, YAU OI ESTATE, YAU OI ROAD, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00642,TAI MING HONG,Yes,S2,"G/F, 8 TONG MEI ROAD, TAI KOK TSUI, KOWLOON",No,2017-10-06
CR-2003-00643,CHUNG HING GINSENS AND SEA PRODUCTS,Yes,S1 & S2,"G/F, 63C, TAM KUNG MANSION, TAM KUNG RD, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-00648,WAH KEUNG MEDICINE CO.,Yes,S2,"NO. 6, 2/F, TAI HING ESTATE SHOPPING ARCADE, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00650,TUNG HING MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 13, G/F, RICH BUILDING, TSING MIN PATH, TSENG CHOI ST, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00655,KAM FAT SEA PRODUCTS RETAIL LIMITED,No,S2,"FLAT/RM A, G/F, 121-125 WING LOK STREET, HONG KONG",No,2017-10-06
CR-2003-00660,SHUN WING DRIED SEAFOOD LIMITED,No,S2,"FLAT/RM 1, G/F, LUEN WAI COMMERCIAL BLDG, 93-97 DES VOEUX RD WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00664,KUNG SHUN MEDICINE CO.,Yes,S1 & S2,"NO.5, G/F, POK WAH HSE, POK HONG EST, SHA TIN, N.T.",No,2017-10-06
CR-2003-00665,TUNG CHAI TONG,Yes,S1 & S2,"G/F, 98 HING LUNG ST, CHEUNG CHAU, HONG KONG",No,2017-10-06
CR-2003-00666,LUNG WAH MEDICINE CO.,Yes,S1 & S2,"B123, PODIUM LEVEL 1, NAN FUNG PLAZA, 8 PUI SHING RD, TSEUNG KWAN O, N.T.",No,2017-10-06
CR-2003-00669,CHINESE HERBS & MEDICINES,No,S2,"SHOP NO 8, G/F, YAU LAM HSE, 97 NAM CHEONG ST, KOWLOON",No,2017-10-06
CR-2003-00670,ON LING MEDICINE CO.,Yes,S1 & S2,"G/F, 59 FAU TSOI ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00672,WINSOR HEALTH PRODUCTS LIMITED,No,S2,"2/F, EAST OCEAN CTR, 98 GRANVILLE RD, TSIM SHA TSUI EAST, KOWLOON",No,2017-10-06
CR-2003-00673,MAN HONG YOYK HONG,Yes,S2,"FLAT/RM 11, G/F, YEE FUNG GARDEN, 38 MA TIN ROAD, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00675,LUEN YICK DISPENSARY CO.,Yes,S1 & S2,"FLAT/RM R-107, G/F, BUTTERFLY PLAZA, BUTTERFLY ESTATE, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00676,TONG FU DISPENSARY,Yes,S1 & S2,"G/F, NO.45 HA HEUNG ROAD, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-00678,CHUNG YUEN MEDICINE CO.,Yes,S1 & S2,"G/F, WING FUNG BLDG, 16 TSZ WAH LANE, TSZ WAN SHAN, KOWLOON",No,2017-10-06
CR-2003-00679,PO WO TONG MEDICINE HONG TANG TING KWONG HERBALIST,Yes,S1 & S2,"FLAT/RM 31A, G/F, HOI FUK SHOPPING CTR, 2-8 CHIK WAN ST, TAI WAI, SHA TIN, N.T.",No,2017-10-06
CR-2003-00680,YAT FAT,No,S2,"SHOP L, 84 AP LEI CHAU MAIN STREET, HONG KONG",No,2017-10-06
CR-2003-00681,KWONG TUNG ON,Yes,S1 & S2,"G/F, NO 72 LOK SHAN ROAD, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-00682,GINSENG CENTRE CO.,Yes,S2,"G/F, 30 WHAMPOA STREET, HUNG HOM, KOWLOON",No,2017-10-06
CR-2003-00686,CHINA GIN SENG MARINE PRODUCTS CO.,Yes,S1 & S2,"G/F, 55 CHUN YEUNG ST, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-00688,SUN WAH CHEONG MEDICINE CO.,Yes,S2,"STALL S108, 1/F, TAI SHING MARKET, TAI SHING STREET, WONG TAI SIN, KOWLOON",No,2017-10-06
CR-2003-00689,WORLD MEDICINE SUPERMARKET,Yes,S1 & S2,"G/F, 1S LOK SHAN RD, KOWLOON",No,2017-10-06
CR-2003-00691,SHUN HING HONG,No,S2,"RM A, G/F, KO SHING BLDG, 48-66 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00693,WING TAI HONG MARINE PRODUCTS LIMITED,No,S2,"GROUND FLOOR TO 2ND FLOOR, SHING LEE YUEN BUILDING, 71 BONHAM STRAND WEST, HONG KONG",No,2017-10-06
CR-2003-00694,NAM FUNG GINSENG HONG,No,S2,"G/F, 222 SHANGHAI STREET, KOWLOON",No,2017-10-06
CR-2003-00697,HING SHING MEDICINE CO.,Yes,S2,"NO 9D WING LUNG STREET, CHEUNG SHA WAN, KOWLOON",No,2017-10-06
CR-2003-00698,CHUNG KONG COMPANY,No,S2,"STALL S101, 1/F, SHEK WU HUI MARKET, 13 CHI CHEONG RD, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00699,WING HING MARINE PRODUCTS TRADING COMPANY LIMITED,No,S2,"G/F, 130 DES VOEUX RD W, HONG KONG",No,2017-10-06
CR-2003-00703,TAK YIP MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 94-96, G/F, MAYFAIR GARDEN SHOPPING CENTRE, TSING YI, N.T.",No,2017-10-06
CR-2003-00706,HUNG KEI CO.,No,S2,"FLAT/RM J, 1/F, KO SHING BLDG, 48-66 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00707,YAN YAN MEDICINE HONG,Yes,S1 & S2,"FLAT G, G/F, KAR PO MANSION, 499 CASTLE PEAK ROAD - KWAI CHUNG, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-00708,AFFLUENCE GINSENG MEDICINE HONG,Yes,S2,"SHOP NO 7, G/F, YAN OI BLDG, NO 11 TSENG CHOI ST, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00713,LUNG SHING MEDICINE CO.,Yes,S2,"SHOP 7, 1/F, WALDORF GDN, TMTL194, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00715,WING SHING GINSENG ANTLER MEDICINE CO.,Yes,S1 & S2,"SHOP 2, G/F, HANG FAI BUILDING, NO.2 SAI TAI STREET, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00717,HENG CHUN MEDICINE CO.,Yes,S1 & S2,"NO 71, 1/F, RICHLAND GDN SHOPPING ARCADE, 138 WU CHUI RD, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00719,KIN YICK CHINESE MEDICINE,Yes,S2,"SHOP B, G/F, 95 BONHAM STRAND, SHEUNG WAN, HONG KONG",No,2017-10-06
